Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Pratapgarh,"88,570","85,600","90,267","83,946","72,282",,,"22,959","16,531","6,428","41,610","35,640","41,639","64,598","13,687",630,"63,205",548,"15,505","61,114",975,369,"1,607",77,"10,079","10,156","14,668","1,717","121,582","1,268,216","46,569","89,413","90,602","87,175","90,084","89,266","91,215",,481,"5,604",
Rae Bareli,"102,236","102,236","107,146","99,344","103,947",,,"60,977","48,619","12,358","52,199","19,821","52,258","113,235",536,,"60,978","1,000","1,092","57,685",922,,892,71,"8,676","8,747","21,019",,"124,792","2,783,935","44,725","91,154","92,025","90,295","90,090","91,914","87,177",,30,210,"1,197"
Rampur,"47,793","16,372","39,156","45,333","23,225",,,"19,610","3,758","15,852","13,270",22,"13,315","32,925",269,5,"29,985",19,"5,619",,966,,105,16,"2,491","2,507","13,275",,"58,586","878,995","20,090","59,553","60,513","57,510","58,725","58,226","47,430",470.0,383,614,
Saharanpur,"78,428","31,937","56,082","94,453","81,133","7,316",877,"64,430","51,151","13,279","25,166","19,813","25,362","89,792",879,,"76,680","1,735","7,937",574,978,663,817,619,"5,817","6,436","14,249",,"262,917","1,321,100","39,689","91,501","91,447","91,943","88,900","87,789","13,465",,"1,612","6,022",
Sambhal,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Sant Kabir Nagar,"45,262","7,730","26,592","43,571","40,614",20,,"21,553","16,177","5,376","24,726",,"24,756","46,309",14,,"45,021",182,"10,492","19,362",906,46,55,78,"2,283","2,361","15,015",,"53,357","983,326","11,373","47,629","50,510","46,313","43,821","45,575","46,085",,"1,411","1,341",
Sant Ravidas Nagar,"41,413","11,126","37,638","49,949","35,502",853,259,"11,197","8,324","2,873","25,225",299,"25,225","36,422",19,1,"35,197",150,"1,187","16,992",880,7,7,131,"5,903","6,034","13,142",,"83,847","903,846","8,953","45,474","45,418","46,111","45,545","44,677","41,508",,"2,045","2,147",
Shahjahanpur,"90,868","88,211","72,449","88,549","75,767","2,954",316,"52,729","21,650","31,079","26,473",,"26,473","79,202",61,,"73,424",562,"16,910",,930,109,66,54,"3,921","3,975","26,661",,"194,730","1,746,778","29,177","85,325","81,473","76,175","84,714","82,511","82,443",,"3,090","7,435",
Shamli,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
Shrawasti,"49,956","48,756","46,956","41,734","46,704","3,062",,"18,666","15,534","3,132","18,424","18,339","18,424","37,090",42,,"36,399",,"19,211","33,925",942,,,,"1,298","1,298","16,618",,"68,488","596,620","19,629","38,918","39,573","39,850","38,714","38,660","35,345",,997,"1,316",
Siddharth Nagar,"68,746",,"59,083","61,221","62,248",,,"41,029","22,620","18,409","20,615","20,615","20,615","61,644",212,,"60,387",304,"13,382","60,411",881,3,,35,"2,134","2,169","15,588",,"70,000","427,200","29,537","73,357","74,492","71,124","68,476","68,957","68,957",,"2,116","1,996",
Sitapur,"152,860","91,706","112,683","144,960","114,882",,,"57,485","21,438","36,047","64,024","6,959","65,222","122,707",210,,"121,532",596,"36,258","54,836",961,3,"1,679",78,"11,151","11,229","16,278",,"21,485","18,940","68,403","134,086","135,831","129,689","125,609","124,663","124,663",,"7,440","8,016",
Sonbhadra,"45,188","34,558","38,090","55,457","43,974","1,142",272,"16,415","14,506","1,909","25,123","10,891","28,776","45,191",3,,"15,860",140,"6,071","14,812",770,61,"2,366",437,"9,527","9,964","22,423",,"123,204","919,708","3,232","50,322","46,488","43,761","49,136","46,142","46,342",,,6,
Sultanpur,"121,976","92,734","55,042","120,116","89,856",,,"87,526","58,322","29,204","95,683","9,989","95,932","183,458",859,5,"95,077",597,"23,599","50,040",977,15,329,9,"6,088","6,097","63,815",,"283,633","3,059,633","34,761","107,315","109,504","105,354","107,354","107,197","107,197",,"4,090","7,546",
Unnav,"97,191","68,058","71,977","88,315","83,465","3,481",21,"22,832","11,713","11,119","29,266","20,700","30,196","53,028","15,537",59,"57,205","3,806","5,812","30,704",842,93,"1,719",48,"4,654","4,702","19,990",,"151,642","973,940","26,985","98,871","92,267","89,424","90,752","86,443","86,443",,"2,379","5,689",
Varanasi,"98,305","96,040","91,285","113,047","58,062","5,929",361,"14,146","8,061","6,085","46,283","42,402","46,283","60,429","6,201","1,308","68,480",358,"10,405","68,008",896,"1,219","1,285",384,"13,914","14,298","27,384","4,726","22,662","460,460","66,863","76,689","103,202","101,243","103,877","98,895","86,237",,"13,635","9,919",
