Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
2,15964,4611,9457,13616,11579,536.0,17.0,4927,287.0,4640.0,7320,4117.0,7320,12247,488.0,0.0,354,1219,6610.0,882,2215,1998,164.0,455.0,619.0,315,0.0,18292,83079,2254.0,15428,15073,14790,14517,13840,13265,56.0,894.0,398.0,163.0,769373,435228,199319,63318,506347,11926
3,46083,12226,23572,34405,34229,1445.0,0.0,9428,1626.0,7802.0,24460,18800.0,27680,37108,2711.0,444.0,1750,3617,19556.0,893,564,1526,931.0,3773.0,4704.0,2479,23.0,48402,387759,11922.0,39931,37229,37577,35969,33660,32333,2012.0,50.0,149.0,150.0,1673909,1093966,447736,128727,1096961,27662
4,24336,11719,14468,19323,19327,1107.0,241.0,4976,270.0,4706.0,9918,8542.0,10295,15271,306.0,236.0,351,1730,7376.0,923,4765,4567,757.0,2264.0,3021.0,957,0.0,22405,84236,7341.0,23576,20757,20280,20205,19353,19043,1.0,339.0,178.0,30.0,1022571,521421,267694,90210,664586,14996
5,15812,8037,11537,13357,14870,1642.0,367.0,1264,399.0,865.0,12775,11615.0,12775,14039,855.0,0.0,387,987,12329.0,929,9657,9379,256.0,4250.0,4506.0,1039,0.0,14671,11965,651.0,15395,14791,14476,14742,15502,15432,67.0,1473.0,0.0,296.0,661602,396134,191202,110957,359294,13700
6,53103,13009,25095,46118,40320,543.0,255.0,13942,2335.0,11607.0,17027,10551.0,17027,30969,823.0,0.0,855,3655,14699.0,949,1339,2829,274.0,698.0,972.0,1240,0.0,45548,236354,2441.0,44478,45524,43352,41414,39748,34754,0.0,650.0,464.0,186.0,1882449,853376,481803,139333,1256112,30179
7,34166,15587,17401,24877,49437,5480.0,277.0,1807,1265.0,542.0,22924,4374.0,23331,25138,153.0,30.0,513,1318,7578.0,889,368,3298,960.0,6312.0,7272.0,3189,0.0,35852,121787,9318.0,29082,26094,25723,25285,25329,24200,0.0,81.0,177.0,18.0,1296795,843645,381290,160259,754845,21247
8,12764,3983,7169,10464,10067,370.0,4.0,2936,443.0,2493.0,6212,2517.0,6212,9148,177.0,0.0,217,620,6929.0,888,1759,1655,195.0,848.0,1043.0,839,0.0,17676,69968,2585.0,11255,10594,9989,9370,8945,8520,0.0,110.0,872.0,23.0,967853,522131,253986,88666,624812,9060
9,20322,9151,13746,16791,22318,2729.0,36.0,1871,116.0,1755.0,12364,4017.0,14495,16366,1027.0,318.0,445,825,9650.0,941,218,891,232.0,2997.0,3229.0,1488,0.0,68605,224244,4392.0,19049,18604,18584,18723,18406,18330,26.0,619.0,393.0,18.0,1041595,685398,317923,142171,580974,15958
10,17681,3898,10642,16067,17837,568.0,28.0,6832,1024.0,5808.0,7010,4104.0,7010,13842,93.0,0.0,477,957,7861.0,917,343,742,4.0,1217.0,1221.0,683,0.0,12740,52057,1835.0,16169,15340,14956,14148,13578,12697,23.0,61.0,16.0,74.0,634167,373387,159406,47472,427278,13289
11,25225,14989,18639,21443,23371,1160.0,118.0,1605,289.0,1316.0,13893,3272.0,13893,15498,1402.0,0.0,280,494,6392.0,824,5887,6339,409.0,4364.0,4773.0,2191,0.0,31006,247005,10100.0,22278,21260,21677,21393,20207,19642,2.0,3529.0,6082.0,46.0,1072980,766036,327176,153302,591874,14176
