Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
6,8898,3642.0,6848,7691,7461,3944.0,10.0,3237,93,3144,3081,2438.0,3961,7198,380.0,320.0,59.0,500,6695.0,959,51.0,80.0,696,986,1682,2504,19.0,32013,438335,2569,8744,7830,7867,7864,7615,7585,2.0,1106.0,2276.0,56.0,431914,300079,190971,72170,168439,7147
7,513,286.0,269,397,469,266.0,6.0,71,21,50,137,136.0,137,208,0.0,0.0,3.0,2,200.0,680,5.0,1.0,59,58,117,97,0.0,3769,39620,135,302,396,410,432,409,364,0.0,19.0,454.0,0.0,31726,21821,15550,3796,12255,205
8,17968,9183.0,18056,16007,13918,9485.0,41.0,7320,1272,6048,6207,5517.0,6532,13852,588.0,24.0,132.0,684,12560.0,866,282.0,151.0,92,3836,3928,3908,0.0,51438,822272,3960,17284,17284,17237,17705,16848,16846,0.0,2876.0,3375.0,43.0,989468,708854,282608,276008,429059,13781
9,28998,10165.0,21159,13684,10001,30585.0,252.0,1575,615,960,11870,7900.0,12433,14008,1313.0,87.0,295.0,2335,4524.0,861,756.0,688.0,218,2808,3026,2254,0.0,50739,745432,6164,16344,13991,13631,13572,13603,13555,111.0,6256.0,6491.0,77.0,804360,600838,311158,112064,379885,13805
10,10726,4105.0,9214,9252,8201,2037.0,13.0,3297,244,3053,3389,2977.0,3654,6951,48.0,113.0,65.0,304,6290.0,888,420.0,281.0,31,1676,1707,869,0.0,16443,363858,1283,9524,10023,9711,9415,9161,9161,0.0,648.0,1847.0,100.0,522256,352703,192026,81604,248012,6897
11,11225,2889.0,6511,9909,6973,3956.0,19.0,2523,485,2038,4066,3890.0,5832,8355,320.0,501.0,98.0,1070,7743.0,913,177.0,62.0,162,1963,2125,1433,0.0,21916,528649,2327,9948,10116,9982,9910,10021,10021,1.0,1407.0,3030.0,55.0,571802,417824,214013,80598,276784,8354
12,11724,3864.0,9330,9345,4940,6698.0,73.0,2860,537,2323,3280,2267.0,4683,7543,793.0,622.0,74.0,269,5197.0,909,159.0,165.0,45,1369,1414,853,0.0,22779,327780,2780,9276,9059,9010,9275,8496,8496,1.0,1044.0,2453.0,66.0,513378,389968,132852,81036,299316,7529
1,6822,3344.0,5927,5979,2750,5564.0,25.0,1964,469,1495,2997,2491.0,4532,6496,437.0,244.0,67.0,565,5818.0,879,187.0,64.0,82,1902,1984,2709,3.0,33105,482134,2547,6770,6432,6348,6620,6427,6424,0.0,0.0,6463.0,63.0,381955,287619,103406,102465,176084,6474
2,10009,2814.0,6574,8510,4806,4904.0,34.0,4261,670,3591,2674,1963.0,3485,7746,37.0,390.0,92.0,216,5179.0,902,75.0,11.0,801,578,1379,1182,0.0,22310,390144,1598,8876,9164,8779,8548,8503,8503,0.0,652.0,871.0,132.0,519080,323841,119632,174402,225044,7692
3,8729,6330.0,7758,7848,6552,5127.0,63.0,433,46,387,5714,4738.0,6562,6995,460.0,277.0,103.0,572,6831.0,884,470.0,25.0,77,1543,1620,1907,1.0,36396,561414,5440,8407,7579,7655,8091,8004,8002,0.0,1052.0,3988.0,49.0,454767,358091,126153,115778,212837,6915
