Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
3,3944,839,1694,1261,470,588.0,9.0,401,310,91,876,498.0,891,1292,171.0,12.0,27.0,45.0,1071.0,917,240.0,186,4.0,268.0,272.0,308,55.0,972,16935,1190.0,1536,1395,1307,1315,1106,1094,0.0,613.0,2304.0,20.0,194622,159494,81045,19021,94555,1265
4,3873,1066,926,1455,1405,130.0,14.0,625,426,199,743,648.0,743,1368,4.0,0.0,4.0,25.0,1358.0,824,292.0,290,0.0,48.0,48.0,489,0.0,1103,2420,1269.0,1900,2053,1937,1686,1195,1117,0.0,256.0,564.0,3.0,250260,119625,104980,42673,102605,1364
5,3417,739,1239,1367,1317,94.0,3.0,528,432,96,1159,837.0,1159,1687,8.0,0.0,15.0,10.0,1634.0,921,45.0,32,0.0,82.0,82.0,306,0.0,1683,4528,1635.0,1932,2071,2031,1972,2027,1999,0.0,174.0,1453.0,0.0,163418,105892,63645,16631,83141,1673
6,3363,1222,1345,1749,922,138.0,14.0,892,739,153,1007,769.0,1014,1906,55.0,0.0,26.0,32.0,1534.0,885,90.0,54,0.0,107.0,107.0,171,0.0,921,10994,1305.0,2284,2592,2400,2086,1920,1321,0.0,158.0,381.0,6.0,196596,117510,73517,24636,98442,1883
7,2507,765,983,1199,1078,361.0,15.0,388,372,16,920,875.0,920,1308,18.0,0.0,6.0,25.0,1199.0,1025,109.0,68,0.0,201.0,201.0,47,0.0,1535,12107,1363.0,1339,1440,1472,1482,1065,974,0.0,229.0,517.0,0.0,166343,128208,63511,14900,87931,1306
8,2041,865,585,872,781,23.0,1.0,428,388,40,623,516.0,623,1051,64.0,0.0,15.0,14.0,928.0,884,114.0,114,0.0,98.0,98.0,254,0.0,1171,5171,531.0,1220,1268,1241,1188,964,539,0.0,137.0,630.0,1.0,140756,102880,49382,30083,61290,1036
1,20578,10275,9904,6976,6407,4068.0,140.0,929,594,335,4554,3629.0,5972,6901,732.0,381.0,153.0,359.0,5495.0,973,695.0,134,5.0,785.0,790.0,191,624.0,6815,15198,7567.0,9710,8987,8363,8028,7560,7079,0.0,5136.0,23431.0,28.0,386603,287155,126518,30821,229757,6813
2,7155,1302,1497,1397,368,377.0,5.0,302,219,83,1952,524.0,2223,2525,259.0,0.0,8.0,124.0,2417.0,873,86.0,16,0.0,391.0,391.0,340,259.0,2645,30544,3067.0,3939,3828,3656,3636,3339,3308,0.0,1637.0,3307.0,8.0,264106,197620,98016,14978,151129,2527
3,2320,895,995,1056,326,652.0,10.0,398,293,105,1032,634.0,1051,1449,209.0,9.0,29.0,35.0,1246.0,859,285.0,191,1.0,237.0,238.0,285,48.0,334,17532,1225.0,1548,1482,1397,1392,1187,1139,0.0,871.0,2016.0,17.0,191225,158022,80935,18359,92113,1420
4,5105,1851,800,1848,2585,521.0,8.0,592,523,69,921,762.0,921,1513,69.0,0.0,15.0,61.0,1479.0,851,246.0,230,0.0,65.0,65.0,356,0.0,1028,6816,1784.0,2656,2825,2424,2268,1805,1597,0.0,340.0,375.0,2.0,249243,122712,104663,45464,100221,1501
