Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
4,2401.0,1001.0,1006.0,1173.0,1315.0,323.0,7.0,77.0,67.0,10.0,1469.0,1181.0,1583.0,1660.0,182.0,41.0,12.0,131.0,1213.0,934,150.0,145.0,2.0,209.0,211.0,210.0,41.0,1670.0,1772.0,1411.0,2006.0,1848.0,1782.0,1515.0,1356.0,1635.0,0.0,1222.0,1250.0,0.0,101762,67297,34533,7225,60078,1673.0
5,4122.0,1289.0,1385.0,2400.0,737.0,784.0,81.0,20.0,16.0,4.0,1347.0,1285.0,1347.0,1367.0,11.0,0.0,10.0,125.0,1337.0,873,326.0,308.0,0.0,30.0,30.0,257.0,0.0,1615.0,3431.0,1600.0,3009.0,3220.0,2983.0,2746.0,2304.0,2304.0,0.0,21.0,1660.0,0.0,146169,87386,50695,10378,85105,1360.0
6,1113.0,254.0,165.0,216.0,191.0,190.0,6.0,3.0,3.0,0.0,493.0,437.0,493.0,496.0,11.0,0.0,16.0,32.0,468.0,853,70.0,211.0,0.0,7.0,7.0,157.0,0.0,614.0,1264.0,331.0,635.0,733.0,717.0,638.0,573.0,469.0,0.0,20.0,277.0,2.0,80282,58657,20501,7455,52825,480.0
7,9790.0,6243.0,2706.0,2827.0,1025.0,166.0,43.0,27.0,25.0,2.0,2531.0,2152.0,4026.0,4053.0,627.0,306.0,49.0,152.0,4028.0,895,320.0,319.0,0.0,704.0,704.0,592.0,108.0,1856.0,6205.0,4923.0,6650.0,3477.0,3063.0,2821.0,3926.0,4165.0,0.0,2987.0,3735.0,27.0,190123,135067,54177,17624,118898,4218.0
8,796.0,410.0,240.0,390.0,267.0,340.0,7.0,19.0,19.0,0.0,284.0,238.0,284.0,303.0,27.0,0.0,17.0,11.0,226.0,835,17.0,16.0,0.0,23.0,23.0,131.0,0.0,1372.0,1400.0,318.0,688.0,799.0,828.0,822.0,753.0,727.0,0.0,22.0,150.0,1.0,52538,28992,25930,4247,22376,290.0
9,1745.0,714.0,737.0,1200.0,421.0,450.0,13.0,153.0,89.0,64.0,603.0,415.0,603.0,756.0,0.0,0.0,9.0,20.0,670.0,1047,87.0,81.0,0.0,0.0,0.0,73.0,0.0,1587.0,2245.0,342.0,1610.0,1880.0,1946.0,1941.0,1807.0,1599.0,0.0,0.0,869.0,1.0,114462,51575,44353,6044,64164,747.0
10,686.0,259.0,351.0,382.0,517.0,405.0,7.0,24.0,22.0,2.0,314.0,131.0,314.0,338.0,14.0,0.0,13.0,11.0,200.0,920,4.0,86.0,0.0,30.0,30.0,103.0,0.0,1191.0,3744.0,375.0,499.0,530.0,536.0,526.0,544.0,454.0,0.0,98.0,792.0,0.0,35724,19335,14355,3518,17974,338.0
11,1645.0,427.0,331.0,501.0,1090.0,137.0,15.0,37.0,30.0,7.0,876.0,865.0,876.0,913.0,14.0,0.0,10.0,22.0,847.0,1059,40.0,28.0,0.0,0.0,0.0,205.0,0.0,611.0,424.0,634.0,1090.0,1080.0,1073.0,1050.0,874.0,646.0,0.0,69.0,236.0,0.0,90590,52131,26763,10830,54457,939.0
12,2385.0,928.0,898.0,868.0,3820.0,420.0,19.0,1.0,1.0,0.0,800.0,729.0,800.0,801.0,49.0,0.0,15.0,38.0,770.0,814,12.0,71.0,0.0,39.0,39.0,435.0,0.0,2376.0,4894.0,766.0,1136.0,1118.0,1019.0,960.0,780.0,746.0,0.0,49.0,102.0,4.0,85952,50999,36070,8285,41701,782.0
13,1770.0,415.0,928.0,901.0,1021.0,151.0,7.0,1.0,1.0,0.0,1406.0,1304.0,1406.0,1407.0,92.0,0.0,10.0,65.0,1368.0,961,162.0,171.0,0.0,145.0,145.0,274.0,0.0,1213.0,1629.0,351.0,1652.0,1546.0,1485.0,1392.0,1280.0,1165.0,0.0,112.0,369.0,0.0,114024,67853,44349,6164,63559,1398.0
1,3417.0,919.0,1554.0,2090.0,1340.0,762.0,26.0,60.0,42.0,18.0,1163.0,928.0,1163.0,1223.0,0.0,0.0,14.0,113.0,1182.0,871,3.0,1.0,0.0,0.0,0.0,97.0,0.0,2249.0,4534.0,1364.0,2152.0,2266.0,1964.0,1719.0,1519.0,1432.0,0.0,0.0,283.0,0.0,155843,81405,51251,12631,92329,1201.0
2,138.0,80.0,92.0,82.0,101.0,13.0,0.0,13.0,13.0,0.0,80.0,80.0,80.0,93.0,0.0,0.0,1.0,1.0,92.0,1073,0.0,0.0,0.0,0.0,0.0,8.0,0.0,860.0,3209.0,92.0,92.0,98.0,92.0,96.0,70.0,66.0,0.0,0.0,882.0,0.0,4424,2556,1317,706,2461,85.0
3,1567.0,731.0,684.0,537.0,1361.0,101.0,0.0,97.0,57.0,40.0,567.0,568.0,567.0,664.0,0.0,0.0,9.0,59.0,446.0,807,1.0,245.0,0.0,0.0,0.0,75.0,0.0,2002.0,3088.0,653.0,653.0,1086.0,962.0,752.0,570.0,564.0,0.0,0.0,114.0,3.0,86601,48011,28299,5566,53102,665.0
