Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
6,98139,70242,83965,91622,86826,15236,3025.0,775,276.0,499.0,18553,14471,87686,88461,4082,17646.0,1073,3524,65938,961,1865.0,209.0,412,37883,38295,16165,6290.0,186983,3742424,70286,84568,83805,82954,81956,80573,80573,901.0,3608.0,35996.0,1397,4843805,2905647,2081395,279507,2482033,87410
7,93758,57602,91422,89757,89757,44315,5099.0,7,1.0,6.0,50521,43770,81695,81702,7358,8538.0,24,2022,65794,962,582.0,1570.0,480,28530,29010,7790,4163.0,165627,1610163,50856,80879,82685,81861,81113,80899,80899,0.0,16603.0,42900.0,134,3931816,2865343,1089529,278895,2547463,81691
8,78646,52115,69958,76133,76133,21575,362.0,5081,4781.0,300.0,8231,6740,70194,75275,1529,21607.0,81,27508,56911,942,249.0,66.0,4030,17852,21882,10881,0.0,203112,2394504,70569,68346,68474,67969,68141,67782,67782,0.0,492.0,925.0,278,3746811,2145018,1576653,282883,1887226,75194
9,52719,39399,37469,52260,48579,6546,910.0,2217,1309.0,908.0,12629,8639,44173,46390,1426,14653.0,645,4292,31534,991,647.0,21.0,248,14488,14736,12039,1559.0,129525,1352459,35256,45675,45250,45429,45492,45490,45490,676.0,4393.0,2278.0,416,2774717,1589772,1196943,195250,1381939,45745
10,90148,56508,73780,83724,79293,22216,2640.0,408,122.0,286.0,29598,14972,76351,76759,5861,7570.0,553,1336,63487,953,921.0,141.0,404,23719,24123,14706,0.0,78539,1558260,52709,74592,76962,76419,74181,72545,72545,0.0,4053.0,2763.0,397,4483307,2959076,1727233,299899,2456009,76206
11,92975,67598,81840,84604,85051,21494,2217.0,12913,10120.0,2793.0,37346,32837,66364,79277,2517,4113.0,489,5478,72387,938,1050.0,57.0,29,24754,24783,19095,528.0,198385,2480622,66374,75076,73964,73353,72880,69537,69537,0.0,3438.0,3312.0,702,3997742,2066423,1729962,269045,1998678,78798
12,83197,43289,73222,76029,76661,11122,65.0,7362,2826.0,4536.0,25102,20045,64460,71822,2305,10797.0,839,3134,59583,892,671.0,0.0,28,23169,23197,13026,33.0,174689,2089067,45876,69644,71384,70999,71802,69288,69266,0.0,464.0,1503.0,465,3995590,1866927,1779199,273473,1940565,70987
13,63206,31982,62632,63127,63058,25016,4013.0,2370,1587.0,783.0,17945,13746,52534,54904,2337,6593.0,298,3479,41663,968,680.0,27.0,200,25229,25429,12327,0.0,149025,2272278,43855,54656,54505,54406,54320,54063,54063,0.0,2634.0,15649.0,779,2994849,1583205,1181205,245366,1568193,54669
14,70278,54669,64111,68163,68105,10081,1013.0,3540,3231.0,309.0,14072,10459,53534,57074,2952,16377.0,500,3042,39816,859,1116.0,34.0,73,18640,18713,13736,4464.0,175270,2356005,51652,58056,57526,57901,60344,59160,58178,0.0,2179.0,5780.0,553,3463943,1956228,1473853,251789,1737501,56638
15,56165,40124,51278,54245,53695,9744,2828.0,2157,1074.0,1083.0,8780,7008,47501,49658,2000,3550.0,175,451,43269,918,316.0,116.0,114,21308,21422,10019,6005.0,167888,2092592,46005,47745,47276,47402,47629,46675,46675,7.0,1634.0,7688.0,542,0,0,0,0,0,49526
