Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
19,37210,18039,28581,30639,28562,2881.0,2.0,612,97,515,27779,24577.0,27779,28391,740,0.0,314,5312,26288.0,919,1829,665,86.0,6810,6896,6919,0.0,106512,433855,21425,43542,33487,32873,32901,33599,32987,627.0,10229.0,7868.0,188.0,2251673,1749936,632625,159568,1459479,28129
20,33412,11415,26589,29991,19465,4524.0,200.0,12486,1438,11048,15351,11312.0,15555,28041,736,5.0,893,5522,25314.0,957,617,205,696.0,5220,5916,5368,0.0,90001,472289,11316,29110,28724,27950,27086,26041,24945,370.0,5920.0,1017.0,1073.0,1379647,568090,396459,296946,686240,27197
21,17818,8205,14495,16821,15967,4209.0,0.0,8059,584,7475,8370,3071.0,8370,16429,326,0.0,644,2699,13824.0,959,748,311,53.0,2827,2880,2288,0.0,66828,335593,5354,15153,15329,14890,14570,14171,13712,664.0,3246.0,1189.0,735.0,613191,244706,179029,131636,302526,15807
22,56648,28945,50094,48967,29771,19289.0,137.0,5417,201,5216,45874,36740.0,45874,51291,2840,0.0,1364,11119,47873.0,953,3547,2332,980.0,8847,9827,9395,0.0,136644,641598,25082,53643,47471,45744,45303,43796,42932,232.0,11479.0,8752.0,1657.0,2519738,1369396,548390,675144,1296204,50094
23,32530,11725,27477,29211,24737,4219.0,7.0,10676,1252,9424,17261,14770.0,17366,28042,531,34.0,1245,6296,24148.0,937,691,4,97.0,2858,2955,3019,0.0,80197,502572,6914,28601,26785,26064,25877,24852,22672,2240.0,3657.0,1135.0,1099.0,1220946,470378,279115,331790,610039,26838
24,18969,8967,16583,17955,14759,6383.0,141.0,1008,208,800,12559,7905.0,12559,13567,410,0.0,281,1265,12775.0,877,1027,536,4.0,3825,3829,4025,0.0,66986,558971,10038,17175,16306,15985,16205,15848,15231,1291.0,3978.0,3782.0,345.0,962789,688361,229076,114557,619155,13324
25,16315,8920,13344,14772,12154,7384.0,55.0,4042,709,3333,10714,9363.0,11704,15746,482,574.0,543,2687,14132.0,953,501,225,16.0,2144,2160,1465,5.0,22329,178919,4893,14187,13376,12882,12512,11953,10844,809.0,3465.0,1868.0,726.0,610381,299383,151694,153743,304944,15223
26,27514,10170,25659,26027,12128,3040.0,105.0,2340,1397,943,17053,12421.0,17053,19393,740,0.0,374,1860,17060.0,912,1014,600,9.0,5715,5724,6479,0.0,79986,413711,11342,23029,24757,24374,24145,23477,21322,346.0,7020.0,3970.0,338.0,1698729,1291939,450536,171140,1077054,19056
27,23537,8539,21615,20992,18204,20700.0,679.0,8776,244,8532,10225,9159.0,12246,21022,183,642.0,793,4675,17438.0,945,701,145,284.0,3073,3357,3180,38.0,61676,250903,8377,21278,19764,18928,18652,18652,17704,242.0,3859.0,2772.0,684.0,967911,407734,227815,239306,500788,20323
28,19452,6588,17232,18350,10467,3634.0,0.0,1096,104,992,18091,8643.0,18091,19187,2677,0.0,550,4114,15165.0,928,330,258,17.0,4062,4079,2776,0.0,62618,450426,15465,21234,17252,17115,17259,16380,15781,1243.0,6946.0,2056.0,405.0,1041098,703690,336854,168986,535258,18685
