Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Sehore,39072.0,19048.0,34385.0,36420.0,31743.0,294.0,61.0,4459.0,642.0,3817.0,27002.0,27002.0,27005.0,31464.0,437.0,109.0,31288.0,201.0,9639.0,27002.0,935,310.0,756.0,320.0,6671.0,6991.0,16167.0,,369479.0,5061666.0,36195.0,39866.0,36195.0,35450.0,36444.0,36290.0,36290.0,,213.0,1.0,524.0
Seoni,30192.0,13876.0,25075.0,28133.0,26644.0,5335.0,121.0,6955.0,522.0,6433.0,20605.0,,20605.0,27560.0,923.0,61.0,26935.0,703.0,4153.0,,961,138.0,206.0,1041.0,9016.0,10057.0,9869.0,,292384.0,1900288.0,17487.0,28866.0,28389.0,27274.0,26558.0,26890.0,26890.0,,1090.0,152.0,
Shahdol,33172.0,552.0,28054.0,29184.0,33172.0,,,9731.0,3211.0,6520.0,21830.0,12217.0,21830.0,31561.0,195.0,,30943.0,618.0,6030.0,21833.0,945,93.0,133.0,1002.0,5751.0,6753.0,7935.0,,129273.0,2027044.0,10913.0,31512.0,26122.0,24912.0,23841.0,25325.0,25325.0,,,,
Shajapur,43376.0,37403.0,39268.0,40433.0,40096.0,9572.0,303.0,1358.0,,1358.0,26772.0,26772.0,27090.0,28448.0,124.0,21.0,27907.0,550.0,13623.0,27739.0,888,85.0,34.0,620.0,8866.0,9486.0,18108.0,,234167.0,3754126.0,26843.0,27866.0,53478.0,52242.0,51772.0,49163.0,49212.0,,107.0,198.0,76.0
Sheopur,18368.0,5511.0,18016.0,17016.0,18372.0,721.0,144.0,2906.0,37.0,2869.0,12921.0,10470.0,12921.0,15827.0,2.0,,15617.0,220.0,1642.0,12901.0,937,29.0,74.0,36.0,3410.0,3446.0,5289.0,,97853.0,502705.0,7929.0,15611.0,16933.0,16509.0,16693.0,16209.0,16209.0,,4.0,3455.0,486.0
Shivpuri,49133.0,14168.0,42573.0,47360.0,38517.0,,,6297.0,791.0,5506.0,29310.0,29310.0,29310.0,35607.0,495.0,,35044.0,563.0,2099.0,35044.0,925,,45.0,230.0,9645.0,9875.0,11115.0,,124121.0,1369193.0,48548.0,48548.0,42313.0,40879.0,39891.0,48641.0,48641.0,,,524.0,1306.0
Sidhi,93251.0,35618.0,67609.0,77069.0,71927.0,7397.0,216.0,31545.0,14674.0,16871.0,49400.0,9064.0,49400.0,80945.0,914.0,52.0,90809.0,4946.0,21836.0,12057.0,876,496.0,286.0,1520.0,5863.0,7383.0,4845.0,441.0,147442.0,584893.0,18088.0,86370.0,78929.0,71755.0,68621.0,84036.0,118822.0,,102.0,16.0,294.0
Singroli,36307.0,18660.0,29815.0,28987.0,33236.0,716.0,262.0,18204.0,13145.0,5059.0,12637.0,9269.0,12637.0,30841.0,5.0,14.0,30728.0,130.0,5397.0,20512.0,943,251.0,11.0,349.0,5084.0,5433.0,3491.0,59.0,24111.0,17900.0,22595.0,31326.0,30531.0,29014.0,27315.0,29615.0,28515.0,443.0,3.0,90.0,66.0
Tikamgarh,28161.0,6353.0,20203.0,25644.0,25753.0,,,4426.0,177.0,4249.0,21769.0,16587.0,21769.0,26195.0,248.0,,30201.0,2564.0,3938.0,14440.0,1098,119.0,132.0,172.0,11431.0,11603.0,18541.0,,69432.0,988337.0,,21700.0,17305.0,22704.0,22314.0,22215.0,23335.0,,,,29.0
Ujjain,57458.0,48839.0,49988.0,49988.0,42490.0,13453.0,536.0,8950.0,1119.0,7831.0,28494.0,7346.0,32769.0,41719.0,1441.0,105.0,40872.0,847.0,5312.0,40188.0,942,44.0,366.0,526.0,11959.0,12485.0,7119.0,,159811.0,2356992.0,31553.0,40872.0,41299.0,41020.0,40866.0,39365.0,39338.0,72.0,2153.0,6587.0,893.0
Umaria,17285.0,6756.0,16978.0,16288.0,16237.0,51.0,31.0,3456.0,476.0,2980.0,12361.0,12145.0,12472.0,15928.0,61.0,20.0,15712.0,216.0,1271.0,12145.0,957,15.0,20.0,345.0,4399.0,4744.0,8993.0,,209708.0,1344751.0,1167.0,16357.0,17213.0,17464.0,15850.0,15822.0,15822.0,5.0,9.0,30.0,291.0
Vidisha,34751.0,11643.0,13147.0,28197.0,30909.0,8260.0,155.0,3842.0,356.0,3486.0,23919.0,23178.0,24474.0,28316.0,74.0,12.0,28055.0,142.0,3698.0,18501.0,888,67.0,486.0,839.0,12923.0,13762.0,9409.0,,125576.0,2033304.0,17197.0,36027.0,34138.0,34011.0,33203.0,31847.0,31014.0,,82.0,655.0,10.0
