Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of home deliveries attended by Non SBA trained (trained TB/Dai),Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported Still Births,Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported,Population Persons,Literate Persons,Main workers Persons,Marginal workers Persons,Non-workers Persons,Total Number of reported live births
34817.0,3213.0,830.0,259.0,2874.0,713.0,1694.0,140.0,203.0,14839.0,15042.0,23919.0,0.0,80112.0,1007947.0,0.0,0.0,0.0,911.0,2067868,1511099,682428,155949,1229146,45587.0
44011.0,17723.0,5904.0,0.0,498.0,1525.0,748.0,0.0,32.0,23594.0,23626.0,40905.0,199.0,136468.0,1851934.0,141.0,0.0,0.0,1921.0,3052601,1622325,992273,238917,1819870,69247.0
18892.0,244.0,3746.0,267.0,1446.0,203.0,1039.0,91.0,11.0,6700.0,6711.0,11594.0,408.0,41662.0,1120275.0,16.0,2013.0,2586.0,393.0,1531962,1091240,520543,100638,910683,32678.0
26801.0,1959.0,1746.0,113.0,780.0,434.0,1105.0,331.0,679.0,13297.0,13976.0,22251.0,43.0,99894.0,2265209.0,604.0,111.0,744.0,170.0,2836390,1827617,968701,158975,1708087,56144.0
13460.0,1763.0,3679.0,0.0,0.0,999.0,868.0,205.0,30.0,10162.0,10192.0,21764.0,0.0,156583.0,984628.0,422.0,99.0,185.0,1017.0,2072031,954412,547413,430954,1092808,53149.0
15297.0,1303.0,11.0,775.0,218.0,434.0,317.0,287.0,276.0,10746.0,11022.0,19009.0,406.0,81482.0,2296935.0,0.0,570.0,1236.0,493.0,1385914,1014334,453473,83406,848783,33251.0
22142.0,546.0,3451.0,356.0,798.0,628.0,1312.0,1480.0,29.0,7408.0,7437.0,24002.0,1151.0,108203.0,1572165.0,92.0,530.0,1522.0,670.0,2133059,1361561,710888,124503,1297649,40563.0
25572.0,2908.0,1765.0,1362.0,1807.0,840.0,1676.0,690.0,90.0,8566.0,8656.0,29881.0,37.0,147843.0,2923334.0,407.0,3704.0,1759.0,1098.0,2712058,1793996,925669,184169,1601286,47704.0
13151.0,455.0,4070.0,0.0,489.0,615.0,840.0,346.0,94.0,8334.0,8428.0,9396.0,0.0,86029.0,1658136.0,55.0,0.0,0.0,436.0,2034834,1196608,665218,90956,1277585,41886.0
18597.0,1937.0,0.0,297.0,215.0,799.0,634.0,293.0,2730.0,19778.0,22508.0,37497.0,0.0,78690.0,1209455.0,29.0,1650.0,1317.0,701.0,2270707,1612925,719311,212041,1338583,51993.0
22877.0,1539.0,7.0,505.0,2347.0,755.0,762.0,0.0,136.0,14396.0,14532.0,35430.0,1659.0,189599.0,4831963.0,1.0,4453.0,13728.0,425.0,2014430,1467778,695323,117524,1199745,38007.0
5404.0,353.0,369.0,149.0,124.0,185.0,299.0,57.0,11.0,3112.0,3123.0,3300.0,0.0,21987.0,992453.0,10.0,350.0,1245.0,217.0,582229,357392,192085,98899,291210,8892.0
12919.0,444.0,356.0,152.0,1273.0,137.0,270.0,76.0,181.0,6350.0,6531.0,7313.0,656.0,67574.0,411180.0,0.0,5819.0,3866.0,245.0,1319294,981932,504438,82446,732295,18506.0
13964.0,690.0,4225.0,105.0,668.0,1069.0,1241.0,269.0,77.0,8383.0,8460.0,20266.0,0.0,134060.0,1917434.0,943.0,168.0,35496.0,1295.0,2351437,1392683,677988,406785,1266423,53672.0
29087.0,1417.0,855.0,207.0,1664.0,468.0,491.0,42.0,37.0,6619.0,6656.0,16964.0,3005.0,110706.0,680296.0,76.0,840.0,2010.0,1143.0,1326690,810266,440882,111192,773728,27627.0
3604.0,79.0,137.0,191.0,0.0,51.0,379.0,61.0,26.0,2054.0,2080.0,3638.0,331.0,21327.0,372780.0,3.0,0.0,1125.0,89.0,580395,385140,193134,36274,350878,10822.0
26150.0,16863.0,3704.0,1299.0,2025.0,724.0,2081.0,1057.0,64.0,9533.0,9597.0,27409.0,4925.0,138537.0,3069053.0,902.0,3815.0,6186.0,861.0,3735752,2646499,1297564,155622,2281974,64305.0
35610.0,940.0,1915.0,594.0,10271.0,737.0,1455.0,47.0,91.0,20724.0,20815.0,38653.0,5360.0,97657.0,1727789.0,0.0,2519.0,3955.0,1116.0,2391540,1532337,780692,288601,1322042,52805.0
49462.0,1637.0,3595.0,1611.0,5242.0,354.0,2859.0,1173.0,100.0,33247.0,33347.0,11108.0,28705.0,164124.0,3158346.0,149.0,2841.0,4320.0,381.0,5962841,4412116,2359090,152854,3448761,94212.0
16456.0,63.0,2787.0,213.0,785.0,393.0,590.0,320.0,58.0,7970.0,8028.0,18277.0,0.0,73408.0,1262579.0,1.0,1691.0,3276.0,536.0,1730522,1057439,578469,136978,1014919,33284.0
12025.0,46.0,1385.0,82.0,256.0,207.0,425.0,58.0,747.0,4045.0,4792.0,3969.0,0.0,53160.0,403113.0,8.0,1038.0,551.0,174.0,0,0,0,0,0,11573.0
425.0,27.0,4240.0,14.0,0.0,150.0,315.0,73.0,514.0,1539.0,2053.0,1488.0,0.0,22346.0,580120.0,2.0,254.0,1605.0,27.0,223748,134720,85868,29578,108284,7784.0
36314.0,3453.0,7349.0,5256.0,4091.0,1387.0,1572.0,1015.0,28.0,17673.0,17701.0,17715.0,5053.0,195728.0,2781310.0,1268.0,3780.0,5354.0,1679.0,4110019,2818487,1343963,331115,2434792,81258.0
22782.0,296.0,7256.0,161.0,940.0,397.0,1404.0,463.0,208.0,9595.0,9803.0,7552.0,888.0,36276.0,973934.0,6.0,5147.0,2606.0,494.0,1673579,1131526,569462,163913,940008,31079.0
89230.0,4119.0,4089.0,3889.0,7486.0,1570.0,1285.0,1222.0,603.0,41559.0,42162.0,74231.0,935.0,617185.0,11857183.0,71.0,0.0,0.0,3027.0,7214224,5435760,2332409,262543,4619272,145032.0
13540.0,343.0,1969.0,31.0,202.0,516.0,756.0,43.0,13.0,7585.0,7598.0,20646.0,0.0,73223.0,1418047.0,95.0,108.0,1227.0,341.0,1514189,995459,529153,127985,857051,36302.0
43319.0,2634.0,733.0,453.0,3182.0,802.0,2012.0,153.0,61.0,13304.0,13365.0,23041.0,0.0,51187.0,755673.0,1.0,0.0,0.0,1004.0,2092744,1551253,690030,154763,1247950,43228.0
26142.0,15243.0,4558.0,0.0,605.0,971.0,1147.0,0.0,12.0,24702.0,24714.0,40222.0,0.0,59923.0,915499.0,0.0,0.0,0.0,1977.0,3120505,1704922,1012080,236519,1871905,69804.0
18731.0,330.0,2630.0,216.0,1379.0,341.0,1016.0,302.0,10.0,6516.0,6526.0,10835.0,21.0,38629.0,702095.0,14.0,2529.0,2268.0,393.0,1551018,1118275,526541,100582,923895,27306.0
24773.0,728.0,1735.0,458.0,721.0,975.0,6904.0,550.0,123.0,12868.0,12991.0,21142.0,0.0,75178.0,1370368.0,0.0,107.0,1719.0,352.0,2880364,1887255,992140,158491,1729732,66167.0
23262.0,3224.0,3385.0,149.0,0.0,1063.0,961.0,893.0,32.0,11224.0,11256.0,21582.0,233.0,87932.0,676023.0,283.0,124.0,839.0,1132.0,2127086,1007170,553394,445728,1127961,56346.0
9116.0,1464.0,243.0,1366.0,897.0,437.0,294.0,8.0,152.0,10998.0,11150.0,18887.0,978.0,74436.0,2473066.0,0.0,2570.0,3328.0,410.0,1391753,1030494,451951,83025,856776,35688.0
