Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Kashi Ram Nagar,"37,681","25,077","27,988","30,290","30,728","4,491",312,"3,334",818,"2,516","15,606","12,944","16,084","19,418",197,12,"22,152",218,"2,146","19,152",875,6,0,20,766,786,"6,563",,"25,290","392,618","19,563","33,851","33,227","30,036","27,848","28,396","29,341",0,45,377,3
Kaushambi,"62,860","38,505","51,053","53,519","67,787","1,733",103,"4,517","1,536","2,981","33,123","28,146","33,123","37,640",45,,"40,712",579,"7,607","33,605",886,11,7,101,"2,606","2,707","6,843",,"63,915","569,788","33,681","63,127","70,026","63,312","63,467","58,356","57,884",0,"1,131","2,199",
Kushinagar,"92,613","107,239","69,027","73,260","38,954",314,2,"20,665","12,340","8,325","5,975","5,543","5,975","26,640",2,,"74,995",603,"15,164","61,876",933,432,12,187,"5,687","5,874","22,877",,"51,752","986,035","33,938","73,703","80,581","77,531","72,566","84,994","93,776",23,766,579,3
Lakhimpur Kheri,"122,352","65,266","78,396","101,318","108,163","3,996",147,"21,332","10,673","10,659","53,822","35,906","53,822","75,154",749,,"81,254",510,"13,770","62,121","1,044","1,640",874,199,"2,583","2,782","12,597",,"68,828","574,035","45,435","103,641","103,469","100,366","97,608","105,311","91,850",138,"3,400","8,229",5
Lalitpur,"36,964","28,822","26,431","35,613","29,255","1,223",146,"1,183",297,886,"26,750","26,369","27,481","28,664",396,44,"28,320",344,"1,298","27,342",914,87,3,11,"8,160","8,171","10,185",0,"34,165","910,181","22,307","31,752","31,179","29,775","31,452","30,410","30,406",0,"8,817","5,109",157
Lucknow,"163,533","124,818","110,611","111,328","245,424","37,246","2,489","7,842","2,406","5,436","56,444","49,023","56,444","64,286","9,670",,"77,123","1,274","43,617","69,552",916,938,"3,315",291,"5,329","5,620","17,465",561,"124,418","552,896","70,901","121,537","111,160","104,397","107,160","109,320","124,714",132,"15,244","17,348",63
Maharajganj,"78,067","34,136","51,589","59,822","82,763","9,153",133,"12,512","5,625","6,887","35,834","31,142","35,834","48,346",52,,"53,028",746,"2,730","49,732",890,143,8,241,"7,416","7,657","16,558",,"18,095","142,066","29,061","64,682","66,839","62,320","56,840","66,166","74,225",6,"6,977","2,410",10
Mahoba,"24,893","8,989","15,849","20,073","22,328","8,489",455,"1,167",291,876,"13,876","7,948","13,876","15,043",135,,"14,982",109,"1,813","13,616",882,97,46,0,"1,970","1,970","3,028",,"15,200","271,936","12,475","14,664","19,851","19,113","19,541","19,181","18,023",13,"3,175","4,413",
Mainpuri,"53,318","30,277","35,086","44,675","42,559","5,288",261,"11,778","8,061","3,717","17,716","16,439","17,716","29,494",7,,"29,379",143,"2,088","28,203",869,318,650,0,956,956,"9,752",,"31,964","467,678","25,530","34,088","46,030","45,840","44,611","45,911","68,487",103,567,"3,579",2
Mathura,"72,287","38,030","46,952","56,375","75,294","13,858","1,335","12,976","7,475","5,501","20,444","17,158","20,444","33,420",274,10,"38,352",83,"4,544","37,092",895,53,"1,215",892,"7,448","8,340","12,284",1,"44,420","786,806","26,552","52,815","55,968","55,795","52,979","54,907","59,345",0,"2,689","2,456",3
