Indicator,Total number of pregnant women Registered for ANC,Number of Pregnant women registered within first trimester,Number of pregnant women received 3 ANC check ups,TT2 or Booster given to Pregnant women (numbers),Number of Pregnant women given 100 IFA tablets,Number having Hb level<11 (tested cases),Number having severe anaemia (Hb<7) treated at institution,Number of Home deliveries,Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM),Number of home deliveries attended by Non SBA trained (trained TB/Dai),Deliveries Conducted at Public Institutions,Number of Women Discharged under 48 hours of delivery in public facilities,Institutional deliveries (Public Insts.+Pvt. Insts.),Total reported deliveries,Number of C-section deliveries conducted at public facilities,Number of C-section deliveries conducted at private facilities,Total Number of reported live births,Total Number of reported Still Births,Number of Newborns having weight less than 2.5 kg,Number of New Borns Breast Fed within 1 hour,Sex Ratio at birth ( Female Live Bitrths/ Male Births *1000),Total Number of Abortions ( Spontaneous/ Induced) Reported,Total Number of MTPs ( Public) reported,Number of Vasectomies Conducted (Public + Pvt.),Number of Tubectomies Conducted (Public + Pvt.),Total Sterilisation Conducted,IUCD Insertions done (public facilities),IUCD insertions done (pvt. facilities),Oral Pills distributed,Condom pieces distributed,Number of Infants given OPV 0 (Birth Dose),Number of Infants given BCG,Number of Infants given DPT1,Number of Infants given DPT2,Number of Infants given DPT3,Number of Infants given Measles,Number of fully immunized children (9-11 months),Adverse Events Following Imunisation (Others),Number of Major Operations,Number of Minor Operations,Total Number of Infant Deaths reported
Hapur,"43,886","32,112","39,715","14,382","36,359","22,640","1,750","1,080",0,"1,080","22,218","1,230","31,867","32,947",91,"2,456","32,715",274,"2,663","30,661",913,84,0,62,"1,635","1,697","8,269","1,278","36,440","382,402","27,900","42,984",145,75,39,0,"36,518",13,73,334,1
Hardoi,"156,397","81,515","116,277","27,276","137,213","120,097","1,233","18,128",114,"18,014","6,543",602,"71,298","89,426","1,093","1,142","87,516","2,305","13,451","78,977",919,258,"1,012",41,"3,445","3,486","18,948",222,"95,531","986,693","63,362","97,716",576,185,187,"2,416","106,142",0,"3,126","4,530",327
Hathras,"50,631","32,767","49,381","12,148","48,508","23,291",616,"4,229",86,"4,143","14,635","4,908","37,732","41,961",154,"2,714","42,023",356,"6,391","41,341",927,454,93,24,"2,202","2,226","17,877",518,"38,461","803,574","28,137","45,288",0,0,0,"3,254","46,057",0,245,"3,033",22
Jalaun,"41,123","26,686","39,548","2,918","44,636","36,593","1,746","2,178","1,036","1,142","1,901",360,"22,084","24,262",251,"1,492","25,206",264,"3,827","23,900",931,436,581,61,"4,091","4,152","12,165",39,"49,821","432,846","25,341","33,047",58,53,48,"1,204","34,929",214,"8,567","6,167",66
Jaunpur,"144,287","98,789","98,203","28,951","126,877","72,355","1,559","4,152",208,"3,944","27,670",0,"79,661","83,813","1,765",161,"83,545",665,"7,972","78,512",962,97,61,43,"8,454","8,497","13,692",0,"59,048","332,702","60,907","135,978",340,255,147,"3,290","122,969",22,"3,913","4,561",34
Jhansi,"54,373","32,338","53,357","1,496","52,615","34,510","1,360",705,327,378,"11,070",415,"35,640","36,345","1,931","5,982","36,057",291,"5,954","35,283",937,45,"1,182",138,"7,364","7,502","17,842","6,743","68,794","771,420","31,454","49,831",0,0,8,347,"55,061",97,"6,421","26,070",324
Jyotiba Phule Nagar,"62,598","33,348","35,112","17,198","44,487","32,748",330,"9,384","4,222","5,162","10,627","1,574","26,844","36,228",732,"4,128","36,883",323,"3,185","32,280",936,116,7,54,"2,577","2,631","12,397",0,"29,884","487,020","20,644","43,729",870,467,353,"4,471","53,343",70,"2,778",447,224
Kannauj,"51,470","25,121","42,301","14,564","47,350","61,417",941,"2,850",20,"2,830","9,777","2,332","33,919","36,769",152,"1,617","36,440",498,"3,831","31,429",919,227,72,14,878,892,"8,410",0,"29,068","404,360","22,086","39,788",81,22,149,404,"41,556",105,"1,532",743,124
Kanpur Dehat,"53,519","22,461","33,641","8,447","40,956","36,055","2,564","1,721",15,"1,706","1,253","1,165","22,757","24,478",288,0,"24,290",309,"3,426","23,539",909,119,256,7,"1,212","1,219","9,178",0,"47,090","623,365","25,693","42,351",1,0,10,0,"35,064",0,987,"5,991",0
Kanpur Nagar,"133,756","52,535","58,170","8,787","351,821","67,197","2,153","2,415",673,"1,742","16,403","10,174","53,363","55,778","6,327","8,328","55,856",587,"6,801","32,277",888,808,"1,034",379,"5,411","5,790","27,464","2,581","109,354","615,942","58,358","106,345","3,609","2,667","2,904","24,094","107,174",9,"12,352","17,822",154
